HomeTeam,AwayTeam,FTR,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HTGD,ATGD,DiffFormPts,DiffLP
Arsenal,Leicester,H,0,0,M,M,M,M,M,M,0,0,0,-6
Chelsea,Sunderland,H,0,0,M,M,M,M,M,M,0,0,0,-2
Coventry,Southampton,NH,0,0,M,M,M,M,M,M,0,0,0,-1
Leeds,Derby,NH,0,0,M,M,M,M,M,M,0,0,0,-13
Middlesbrough,Bradford,NH,0,0,M,M,M,M,M,M,0,0,0,-5
Newcastle,Aston Villa,NH,0,0,M,M,M,M,M,M,0,0,0,5
Sheffield Weds,Liverpool,NH,0,0,M,M,M,M,M,M,0,0,0,14
Watford,Wimbledon,NH,0,0,M,M,M,M,M,M,0,0,0,2
West Ham,Tottenham,H,0,0,M,M,M,M,M,M,0,0,0,-1
Everton,Man United,NH,0,0,M,M,M,M,M,M,0,0,0,12
Tottenham,Newcastle,H,0,0,L,M,M,L,M,M,-0.5,-0.5,0,-1
Derby,Arsenal,NH,0.5,1.5,D,M,M,W,M,M,0,0.5,-1,14
Sunderland,Watford,H,0,0,L,M,M,L,M,M,-2,-0.5,0,-13
Wimbledon,Middlesbrough,NH,1.5,0,W,M,M,L,M,M,0.5,-0.5,1.5,6
Aston Villa,Everton,H,1.5,0.5,W,M,M,D,M,M,0.5,0,1,-7
Leicester,Coventry,H,0,0,L,M,M,L,M,M,-0.5,-0.5,0,-6
Man United,Sheffield Weds,H,0.5,0,D,M,M,L,M,M,0,-0.5,0.5,-17
Southampton,Leeds,NH,1.5,0.5,W,M,M,D,M,M,0.5,0,1,12
Bradford,Sheffield Weds,NH,1.5,0,W,M,M,L,M,M,0.5,-0.5,1.5,-1
Derby,Middlesbrough,NH,0.5,0,D,M,M,L,M,M,0,-0.5,0.5,4
Leicester,Chelsea,NH,1,1.333333333,W,L,M,D,W,M,0,1.333333333,-0.333333333,3
Liverpool,Watford,NH,1,0,L,W,M,L,L,M,0,-1,1,-16
Man United,Leeds,H,1.333333333,1.333333333,W,D,M,W,D,M,1.333333333,1,0,-2
Sunderland,Arsenal,NH,1,2,W,L,M,W,W,M,-0.666666667,0.666666667,-1,5
Tottenham,Everton,H,1,0.333333333,W,L,M,L,D,M,0.333333333,-1,0.666666667,-3
Wimbledon,Coventry,NH,1,0,L,W,M,L,L,M,0,-0.666666667,1,4
Southampton,Newcastle,H,1,0,L,W,M,L,L,M,-0.666666667,-1,1,4
Aston Villa,West Ham,NH,2,1.333333333,W,W,M,D,W,M,1.333333333,0.333333333,0.666666667,-3
Chelsea,Aston Villa,H,1.333333333,2,D,W,M,W,W,M,1.333333333,1.333333333,-0.666666667,-1
Coventry,Derby,H,0,0.333333333,L,L,M,L,D,M,-0.666666667,-0.333333333,-0.333333333,-2
Everton,Southampton,H,0.25,1.5,L,L,D,W,L,W,-1,0,-1.25,-2
Leeds,Sunderland,H,1,1,L,W,D,D,W,L,0.25,-0.5,0,-4
Middlesbrough,Liverpool,H,1.5,0.75,W,W,L,L,L,W,0.5,-0.25,0.75,8
Newcastle,Wimbledon,NH,0,1,L,L,L,D,L,W,-1.25,0,-1,-7
Sheffield Weds,Tottenham,NH,0.25,1.5,D,L,L,W,W,L,-1.25,0.5,-1.25,8
Watford,Bradford,H,0.75,1,W,L,L,L,D,W,-0.5,0,-0.25,3
West Ham,Leicester,H,1.75,1,W,D,W,D,W,L,0.5,0,0.75,1
Arsenal,Man United,NH,1.75,1.75,D,W,W,W,W,D,0.5,1.5,0,1
Leeds,Liverpool,NH,1,0.75,L,W,D,L,L,W,0.25,-0.25,0.25,-1
Middlesbrough,Leicester,NH,1.5,1,W,W,L,D,W,L,0.5,0,0.5,4
Watford,Aston Villa,NH,1.2,1.4,W,W,L,L,D,W,-0.2,0.6,-0.2,14
Arsenal,Bradford,H,1.4,0.8,L,D,W,L,L,D,0.2,-0.4,0.6,-15
Coventry,Man United,NH,0.8,2,W,D,L,W,W,W,0,1.4,-1.2,13
Everton,Wimbledon,H,0.8,1,W,L,L,D,D,L,-0.2,0,-0.2,-5
Newcastle,Sunderland,NH,0.2,0.8,D,L,L,L,D,W,-1,-0.6,-0.6,4
Sheffield Weds,Derby,NH,0.2,0.2,L,D,L,L,L,L,-1.2,-1,0,2
Aston Villa,Middlesbrough,H,1.4,1.8,L,D,W,W,W,W,0.6,0.6,-0.4,-6
Bradford,West Ham,NH,0.8,2,L,L,D,W,W,D,-0.4,1,-1.2,8
Derby,Everton,H,0.2,0.8,L,L,L,W,L,L,-1,-0.2,-0.6,3
Liverpool,Arsenal,H,1.2,1.4,W,L,L,L,D,W,0,0.2,-0.2,2
Southampton,Sheffield Weds,H,1.5,0.166666667,W,L,W,L,L,D,-0.166666667,-1.333333333,1.333333333,-3
Tottenham,Leeds,NH,1.5,1.166666667,L,W,W,L,W,L,0.333333333,0.166666667,0.333333333,7
Wimbledon,Chelsea,NH,0.833333333,2.166666667,L,D,D,W,W,W,-0.666666667,1.166666667,-1.333333333,13
Sunderland,Coventry,NH,1.166666667,0.666666667,W,L,D,L,W,D,-0.333333333,-0.166666667,0.5,-7
Leicester,Watford,H,1.166666667,1,W,L,D,L,W,W,0.333333333,-0.333333333,0.166666667,-12
Man United,Newcastle,H,2.166666667,0.166666667,W,W,W,L,D,L,1.333333333,-1,2,-10
Arsenal,Aston Villa,H,1.666666667,1.666666667,W,L,D,W,L,D,0.5,0.666666667,0,-4
Chelsea,Newcastle,H,2.166666667,0.166666667,W,W,W,L,D,L,1.166666667,-1,2,-6
Coventry,Leeds,NH,0.666666667,1.166666667,L,W,D,L,W,L,-0.166666667,0.166666667,-0.5,11
Liverpool,Man United,NH,1.5,2.166666667,W,W,L,W,W,W,0.333333333,1.333333333,-0.666666667,3
Middlesbrough,Southampton,H,1.285714286,1.285714286,L,L,W,L,W,L,-0.142857143,-0.285714286,0.428571429,-3
Sheffield Weds,Everton,NH,0.142857143,1,L,L,L,L,W,W,-1.428571429,0.285714286,-0.714285714,5
Sunderland,Leicester,H,1.142857143,1.428571429,D,W,L,W,W,L,-0.285714286,0.428571429,-0.285714286,-1
West Ham,Watford,H,1.857142857,0.857142857,L,W,W,L,L,W,0.714285714,-0.428571429,0.571428571,-11
Wimbledon,Derby,NH,0.714285714,1,L,L,D,W,W,L,-0.714285714,-0.285714286,-0.571428571,2
Bradford,Tottenham,NH,0.714285714,1.428571429,D,L,L,D,L,W,-0.714285714,0.285714286,-1.142857143,7
Aston Villa,Bradford,H,1.857142857,0.714285714,W,W,L,D,L,L,0.714285714,-0.714285714,1.142857143,-11
Derby,Sunderland,NH,1,1.142857143,W,W,L,D,W,L,-0.285714286,-0.285714286,-0.285714286,9
Leicester,Liverpool,NH,1.428571429,1.285714286,W,W,L,L,W,W,0.428571429,0.142857143,0.571428571,4
Man United,Wimbledon,NH,2.285714286,0.714285714,W,W,W,L,L,D,1.714285714,-0.714285714,1.857142857,-17
Southampton,Arsenal,NH,1.125,1.625,L,L,W,W,L,W,-0.375,0.375,-0.125,13
Watford,Chelsea,H,0.75,2,L,L,L,W,L,W,-0.5,0.875,-0.75,15
Everton,West Ham,H,1.25,1.625,W,L,W,L,L,W,0.5,0.5,0,4
Leeds,Middlesbrough,H,1.625,1.5,W,W,L,W,L,L,0.375,0,0,-9
Newcastle,Sheffield Weds,H,0.125,0.125,L,L,L,L,L,L,-1.375,-1.5,0,-7
Tottenham,Coventry,H,1.625,0.625,W,D,L,L,D,L,0.375,-0.25,0.625,-4
Arsenal,Watford,H,1.625,0.75,W,L,W,L,L,L,0.375,-0.5,0.125,-18
Coventry,West Ham,H,0.625,1.625,L,D,L,L,L,W,-0.25,0.5,-0.5,5
Derby,Bradford,NH,1,0.625,D,W,W,L,D,L,-0.25,-0.75,0.75,-1
Leeds,Newcastle,H,1.625,0.125,W,W,L,L,L,L,0.375,-1.375,1,-8
Leicester,Aston Villa,H,1.222222222,1.777777778,D,L,W,W,L,W,0.111111111,0.444444444,-0.222222222,2
Man United,Southampton,NH,2.222222222,1.111111111,D,W,W,D,L,L,1.444444444,-0.333333333,1,-14
Middlesbrough,Chelsea,NH,1.333333333,2.111111111,L,W,L,W,W,L,-0.222222222,1.333333333,-0.666666667,7
Sunderland,Sheffield Weds,H,1.555555556,0.111111111,W,W,D,L,L,L,0.555555556,-2.222222222,1.111111111,-11
Wimbledon,Tottenham,NH,0.777777778,1.555555556,D,D,L,D,W,D,-0.555555556,0.333333333,-0.555555556,8
Liverpool,Everton,NH,1.111111111,1.444444444,L,D,L,W,W,L,0,0.555555556,-0.555555556,-9
Aston Villa,Liverpool,NH,1.777777778,1.111111111,W,L,W,L,D,L,0.444444444,0,0.222222222,2
Bradford,Sunderland,NH,0.888888889,1.555555556,W,L,D,W,W,D,-0.555555556,0.555555556,-0.666666667,10
Everton,Coventry,NH,1.444444444,0.555555556,W,W,L,L,L,D,0.555555556,-0.333333333,0.888888889,-1
Sheffield Weds,Wimbledon,H,0.111111111,0.777777778,L,L,L,D,D,L,-2.222222222,-0.555555556,-0.333333333,0
Chelsea,Man United,H,1.9,2.1,L,W,W,D,D,W,1.1,1.3,-0.2,4
Newcastle,Middlesbrough,H,0.4,1.2,L,W,L,L,L,W,-0.4,-0.3,0,-1
Tottenham,Leicester,NH,1.4,1.4,L,D,W,W,D,L,0.2,0.3,-0.5,2
Watford,Leeds,NH,0.9,1.9,L,W,L,W,W,W,-0.4,0.6,-0.9,17
West Ham,Arsenal,H,1.6,1.9,L,W,L,W,W,W,0.3,0.5,-0.6,7
Southampton,Derby,NH,1.1,0.8,D,D,L,L,L,D,-0.3,-0.8,-0.2,-1
Arsenal,Everton,H,1.9,1.6,W,W,W,W,W,W,0.5,0.6,0,-11
Coventry,Newcastle,H,0.8,0.4,W,L,L,L,W,L,-0.2,-0.4,0.1,3
Derby,Tottenham,NH,0.8,1.4,L,L,D,L,D,W,-0.8,0.2,0.2,6
Leeds,Sheffield Weds,H,1.9,0.1,W,W,W,L,L,L,0.6,-2.1,1.2,-15
Leicester,Southampton,H,1.545454545,1,W,W,D,L,D,D,0.363636364,-0.363636364,0.727272727,-7
Liverpool,Chelsea,H,1.272727273,1.727272727,W,D,L,L,L,W,0.090909091,0.909090909,-0.090909091,-1
Man United,Watford,H,1.909090909,0.818181818,L,D,D,L,L,W,0.727272727,-0.454545455,0.454545455,-19
Wimbledon,Bradford,H,0.727272727,0.727272727,L,D,D,L,L,W,-0.818181818,-0.909090909,-0.090909091,1
Middlesbrough,West Ham,H,1.090909091,1.545454545,L,L,L,D,L,W,-0.363636364,0.272727273,-0.090909091,3
Sunderland,Aston Villa,H,1.818181818,1.545454545,W,W,W,D,L,W,0.909090909,0.181818182,0.545454545,1
Aston Villa,Wimbledon,NH,1.545454545,0.727272727,D,L,W,L,D,D,0.181818182,-0.818181818,0.363636364,-12
Bradford,Leicester,H,0.727272727,1.545454545,L,L,W,W,W,D,-0.909090909,0.363636364,-0.545454545,9
Chelsea,Arsenal,NH,1.727272727,1.727272727,L,L,W,L,W,W,0.909090909,0.363636364,-0.272727273,3
Sheffield Weds,Coventry,NH,0.363636364,0.818181818,W,L,L,D,W,L,-1.545454545,-0.181818182,-0.181818182,4
Southampton,Liverpool,NH,1,1.25,D,L,D,D,W,D,-0.333333333,0.083333333,-0.25,11
Tottenham,Man United,H,1.666666667,2,W,W,L,W,L,D,0.416666667,0.916666667,0.166666667,9
Everton,Leeds,NH,1.416666667,2.083333333,L,D,W,W,W,W,0.25,0.75,-0.416666667,10
Watford,Middlesbrough,NH,0.75,1.25,L,L,L,W,L,L,-0.666666667,-0.166666667,-0.25,8
West Ham,Sunderland,NH,1.416666667,1.916666667,L,D,L,W,W,W,0.166666667,0.916666667,-0.916666667,2
Newcastle,Derby,H,0.583333333,0.75,L,W,L,L,D,L,-0.5,-0.75,0.333333333,-5
Liverpool,West Ham,H,1.25,1.416666667,D,W,D,L,D,L,0.083333333,0.166666667,0.166666667,-5
Arsenal,Newcastle,NH,1.833333333,0.583333333,W,L,W,L,W,L,0.583333333,-0.5,0.5,-9
Derby,Chelsea,H,0.75,1.583333333,L,D,L,L,L,L,-0.75,0.666666667,-0.333333333,11
Leeds,West Ham,H,2.083333333,1.416666667,W,W,W,L,D,L,0.75,0.166666667,0.916666667,-6
Leicester,Sheffield Weds,H,1.538461538,0.384615385,L,W,W,D,L,W,0.230769231,-1.461538462,0.461538462,-10
Man United,Aston Villa,H,1.846153846,1.384615385,L,W,L,D,L,D,0.692307692,0.076923077,0,-5
Middlesbrough,Everton,H,1.384615385,1.384615385,W,W,L,D,L,D,0,0.230769231,-0.153846154,-1
Wimbledon,Southampton,NH,0.923076923,1,D,W,L,D,D,L,-0.615384615,-0.307692308,0.153846154,3
Coventry,Watford,H,1,0.692307692,D,W,D,L,L,L,0.076923077,-0.769230769,0.384615385,-6
Sunderland,Tottenham,H,1.846153846,1.538461538,D,W,W,L,W,W,0.846153846,0.307692308,0.461538462,-3
Liverpool,Bradford,H,1.384615385,0.846153846,W,D,W,L,W,L,0.153846154,-0.769230769,0.153846154,-13
Aston Villa,Southampton,NH,1.384615385,1,D,L,D,D,D,L,0.076923077,-0.307692308,0.076923077,-9
Bradford,Coventry,NH,0.846153846,1,L,W,L,D,W,D,-0.769230769,0.076923077,-0.153846154,3
Liverpool,Derby,H,1.384615385,0.692307692,W,D,W,L,L,D,0.153846154,-0.846153846,0.538461538,-12
Man United,Leicester,H,1.928571429,1.642857143,W,L,W,W,L,W,0.857142857,0.428571429,-0.357142857,-7
Middlesbrough,Sunderland,NH,1.5,1.928571429,W,W,W,W,D,W,0.071428571,0.857142857,-0.285714286,5
Sheffield Weds,Watford,NH,0.357142857,0.642857143,L,D,L,L,L,L,-1.571428571,-1,0.285714286,-2
Chelsea,West Ham,NH,1.5,1.285714286,D,D,L,D,L,L,0.571428571,0.071428571,0,-4
Newcastle,Everton,NH,0.785714286,1.285714286,D,W,L,L,D,L,-0.285714286,0.142857143,0.142857143,-2
Tottenham,Arsenal,H,1.642857143,1.857142857,W,L,W,D,W,W,0.357142857,0.571428571,-0.071428571,8
Wimbledon,Leeds,H,0.928571429,2.071428571,D,D,W,W,D,W,-0.571428571,0.714285714,-0.5,15
Arsenal,Middlesbrough,H,1.857142857,1.5,D,W,W,W,W,W,0.571428571,0.071428571,0.071428571,-10
Derby,Man United,NH,0.857142857,1.928571429,W,L,L,W,L,W,-0.642857143,0.857142857,-0.214285714,15
Everton,Chelsea,NH,1.285714286,1.5,L,D,L,D,D,L,0.142857143,0.571428571,0.214285714,8
Leeds,Bradford,H,1.933333333,0.8,L,W,D,L,D,L,0.533333333,-0.733333333,0.4,-14
Leicester,Wimbledon,H,1.533333333,1.066666667,L,W,L,W,D,D,0.266666667,-0.4,0.066666667,-10
Southampton,Tottenham,NH,1.066666667,1.733333333,L,W,D,W,W,L,-0.266666667,0.4,-0.466666667,5
Sunderland,Liverpool,NH,1.866666667,1.6,D,W,D,W,W,W,0.8,0.4,-0.133333333,3
Watford,Newcastle,NH,0.666666667,0.8,D,L,L,D,D,W,-0.933333333,-0.266666667,-0.466666667,9
West Ham,Sheffield Weds,H,1.4,0.4,W,D,L,D,L,D,0.133333333,-1.466666667,0,-9
Coventry,Aston Villa,H,1.133333333,1.2,D,W,D,L,L,D,0.333333333,-0.2,0.466666667,8
Coventry,Leicester,NH,1.133333333,1.533333333,D,W,D,L,W,L,0.333333333,0.266666667,0,6
Everton,Aston Villa,NH,1.266666667,1.2,D,L,D,L,L,D,0.133333333,-0.2,0.066666667,7
Middlesbrough,Wimbledon,NH,1.466666667,1.066666667,D,W,W,W,D,D,0.066666667,-0.4,0.133333333,-6
Watford,Sunderland,NH,0.6875,1.75,D,D,L,L,D,W,-0.875,0.625,-0.375,13
West Ham,Liverpool,H,1.5,1.6875,W,W,D,W,W,W,0.1875,0.5,-0.375,5
Arsenal,Derby,H,1.8125,0.75,W,L,D,L,L,W,0.6875,-0.75,0.4375,-14
Chelsea,Bradford,H,1.5,0.75,L,W,D,L,L,D,0.375,-0.75,0.0625,-12
Leeds,Southampton,H,2,1,W,L,W,L,L,W,0.5625,-0.3125,0.3125,-12
Newcastle,Tottenham,H,0.8125,1.625,D,D,D,L,W,W,-0.25,0.3125,-0.1875,1
Aston Villa,Newcastle,NH,1.125,0.8125,L,L,L,D,D,D,-0.25,-0.25,-0.3125,-5
Bradford,Middlesbrough,NH,0.75,1.375,L,L,D,L,D,W,-0.75,-0.1875,-0.375,5
Leicester,Arsenal,NH,1.625,1.8125,W,L,W,W,L,D,0.3125,0.6875,-0.0625,6
Man United,Everton,H,2.0625,1.25,W,W,W,D,D,L,0.9375,0.125,0.5625,-12
Southampton,Coventry,NH,1,1.176470588,D,L,L,L,W,D,-0.294117647,0.294117647,-0.176470588,1
Sunderland,Chelsea,H,1.823529412,1.411764706,W,L,D,L,L,W,0.647058824,0.235294118,0.176470588,2
Wimbledon,Watford,H,1,0.647058824,D,L,W,L,D,D,-0.411764706,-0.882352941,0.235294118,-2
Derby,Leeds,NH,0.705882353,2.058823529,L,L,L,W,W,L,-0.764705882,0.588235294,-0.411764706,13
Liverpool,Sheffield Weds,H,1.588235294,0.352941176,L,W,W,L,L,D,0.411764706,-1.529411765,0.588235294,-14
Tottenham,West Ham,NH,1.588235294,1.470588235,D,L,W,D,W,W,0.294117647,0.176470588,-0.058823529,1
Arsenal,Wimbledon,NH,1.882352941,1,W,W,L,D,L,W,0.705882353,-0.411764706,0.235294118,-16
Aston Villa,Sheffield Weds,H,1.117647059,0.352941176,D,L,L,L,L,D,-0.235294118,-1.529411765,0,-12
Bradford,Newcastle,H,0.764705882,0.941176471,D,L,L,W,D,D,-0.705882353,-0.176470588,-0.411764706,6
Leicester,Derby,NH,1.705882353,0.705882353,W,W,L,L,L,L,0.352941176,-0.764705882,0.352941176,-8
Liverpool,Coventry,H,1.666666667,1.166666667,W,L,W,D,L,W,0.555555556,0.277777778,0.222222222,-10
Middlesbrough,Tottenham,H,1.333333333,1.5,D,D,L,L,D,L,-0.166666667,0.222222222,-0.055555556,2
Sunderland,Southampton,H,1.888888889,0.944444444,W,W,L,L,D,L,0.777777778,-0.388888889,0.333333333,-8
Watford,Everton,NH,0.611111111,1.166666667,L,L,D,L,D,D,-1.111111111,-0.111111111,-0.055555556,7
West Ham,Man United,NH,1.388888889,2.166666667,L,D,W,W,W,W,0.055555556,1.166666667,-0.388888889,8
Chelsea,Leeds,NH,1.5,2.111111111,W,L,L,W,W,W,0.277777778,0.611111111,-0.277777778,2
Coventry,Arsenal,H,1.166666667,1.944444444,D,L,W,W,W,W,0.277777778,0.833333333,-0.111111111,12
Derby,Aston Villa,NH,0.666666667,1.055555556,L,L,L,L,D,L,-0.777777778,-0.277777778,0.111111111,10
Everton,Sunderland,H,1.166666667,1.888888889,L,D,D,W,W,L,-0.111111111,0.777777778,-0.388888889,6
Leeds,Leicester,H,2.111111111,1.611111111,W,W,W,L,W,W,0.611111111,0.166666667,0.166666667,-5
Man United,Bradford,H,2.210526316,0.842105263,W,W,W,L,W,D,1.315789474,-0.736842105,0.578947368,-16
Newcastle,Liverpool,NH,1,1.736842105,L,W,W,W,W,L,-0.210526316,0.631578947,-0.210526316,7
Sheffield Weds,Middlesbrough,H,0.473684211,1.421052632,W,L,L,W,D,D,-1.368421053,-0.105263158,-0.105263158,6
Southampton,Chelsea,NH,0.894736842,1.578947368,L,L,D,W,W,L,-0.421052632,0.421052632,-0.421052632,10
Tottenham,Watford,H,1.578947368,0.578947368,W,L,D,L,L,L,0.421052632,-1.157894737,0.263157895,-10
Wimbledon,West Ham,NH,1.105263158,1.368421053,D,W,D,D,L,D,-0.105263158,0.052631579,0,9
Arsenal,Leeds,H,1.894736842,2.157894737,D,W,W,W,W,W,0.789473684,0.684210526,-0.105263158,-1
Bradford,Everton,NH,0.842105263,1.263157895,L,W,D,W,L,D,-0.736842105,0,-0.105263158,4
Leicester,Newcastle,NH,1.526315789,1,L,L,W,L,W,W,0.105263158,-0.210526316,-0.105263158,-3
Liverpool,Wimbledon,H,1.736842105,1.105263158,W,W,L,D,W,D,0.631578947,-0.105263158,0.210526316,-14
Sunderland,Man United,NH,1.85,2.15,L,W,W,D,W,W,0.55,1.25,-0.2,6
Watford,Southampton,H,0.55,0.85,L,L,L,L,L,L,-1.3,-0.45,0,5
West Ham,Derby,NH,1.35,0.75,D,D,L,L,W,L,0.05,-0.75,0.15,-7
Aston Villa,Tottenham,NH,1.25,1.55,W,W,L,D,W,L,-0.1,0.4,0.1,-4
Chelsea,Sheffield Weds,H,1.55,0.45,D,W,W,L,W,L,0.4,-1.45,0.2,-13
Derby,Watford,H,0.75,0.55,L,W,L,L,L,L,-0.75,-1.3,0.1,-4
Everton,Leicester,NH,1.35,1.45,W,W,L,L,L,L,0.25,0.05,0.1,5
Leeds,Aston Villa,NH,2.2,1.25,W,W,W,W,W,L,0.7,-0.1,0.4,-3
Newcastle,West Ham,NH,1,1.35,D,L,W,D,D,L,-0.2,0.05,0.1,2
Sheffield Weds,Arsenal,NH,0.45,1.8,L,W,L,L,D,W,-1.45,0.7,-0.35,16
Southampton,Bradford,H,0.952380952,0.80952381,W,L,L,L,D,L,-0.380952381,-0.714285714,-0.047619048,-2
Tottenham,Liverpool,H,1.619047619,1.761904762,W,D,W,W,D,W,0.428571429,0.666666667,-0.095238095,6
Wimbledon,Sunderland,H,1.047619048,1.80952381,L,D,D,D,L,W,-0.19047619,0.523809524,-0.19047619,11
Coventry,Chelsea,NH,1.19047619,1.523809524,D,W,L,D,D,W,0.19047619,0.380952381,-0.142857143,9
Bradford,Chelsea,NH,0.80952381,1.523809524,L,D,L,D,D,W,-0.714285714,0.380952381,-0.142857143,12
Chelsea,Tottenham,H,1.523809524,1.619047619,D,D,W,W,D,W,0.380952381,0.428571429,0,-5
Arsenal,Sunderland,H,1.857142857,1.80952381,W,L,D,D,L,W,0.761904762,0.523809524,0,-5
Chelsea,Leicester,NH,1.523809524,1.380952381,D,D,W,L,L,L,0.380952381,0,0.238095238,-3
Coventry,Wimbledon,H,1.19047619,1.047619048,D,W,L,L,D,D,0.19047619,-0.19047619,-0.047619048,-4
Everton,Tottenham,NH,1.333333333,1.619047619,D,W,W,W,D,W,0.238095238,0.428571429,0,3
Middlesbrough,Derby,NH,1.272727273,0.863636364,D,L,L,W,D,L,-0.272727273,-0.590909091,-0.090909091,-4
Sheffield Weds,Bradford,H,0.590909091,0.818181818,W,D,L,D,L,D,-1.227272727,-0.681818182,0.090909091,1
Watford,Liverpool,NH,0.636363636,1.681818182,L,W,L,L,W,D,-1.227272727,0.590909091,-0.318181818,16
West Ham,Aston Villa,NH,1.318181818,1.318181818,D,D,D,W,D,W,0.045454545,-0.045454545,-0.272727273,3
Newcastle,Southampton,H,1.090909091,0.909090909,D,W,D,L,W,L,-0.136363636,-0.590909091,0.227272727,-4
Aston Villa,Chelsea,NH,1.318181818,1.590909091,W,D,W,W,D,D,-0.045454545,0.409090909,-0.045454545,1
Bradford,Watford,H,0.818181818,0.636363636,D,L,D,L,W,L,-0.681818182,-1.227272727,0.090909091,-3
Derby,Coventry,NH,0.863636364,1.272727273,W,D,L,W,D,W,-0.590909091,0.272727273,-0.045454545,2
Leicester,West Ham,NH,1.363636364,1.318181818,D,L,L,D,D,D,0,0.045454545,-0.136363636,-1
Liverpool,Middlesbrough,NH,1.681818182,1.272727273,L,W,D,D,L,L,0.590909091,-0.272727273,0.227272727,-8
Southampton,Everton,H,1,1.304347826,W,L,W,D,D,D,-0.47826087,0.217391304,-0.130434783,2
Tottenham,Sheffield Weds,NH,1.52173913,0.695652174,D,L,W,W,W,D,0.347826087,-1.130434783,-0.086956522,-8
Wimbledon,Newcastle,H,1.086956522,1.173913043,L,W,L,W,D,W,-0.217391304,0.086956522,-0.130434783,7
Sunderland,Leeds,NH,1.652173913,2.043478261,L,L,D,W,L,L,0.304347826,0.52173913,-0.217391304,4
Man United,Arsenal,NH,2.173913043,1.869565217,W,W,D,W,D,W,1.173913043,0.826086957,0.130434783,-1
Man United,Middlesbrough,H,2.173913043,1.217391304,W,W,D,L,D,L,1.173913043,-0.304347826,0.304347826,-11
Sheffield Weds,Man United,NH,0.695652174,2.173913043,W,W,D,W,W,D,-1.130434783,1.173913043,-0.043478261,17
Aston Villa,Watford,H,1.304347826,0.608695652,D,W,D,L,L,W,-0.043478261,-1.217391304,0.347826087,-14
Bradford,Arsenal,H,0.782608696,1.869565217,L,D,L,W,D,W,-0.739130435,0.826086957,-0.260869565,15
Derby,Sheffield Weds,NH,0.956521739,0.695652174,W,W,D,W,W,D,-0.434782609,-1.130434783,0,-2
Leicester,Middlesbrough,H,1.291666667,1.166666667,L,D,D,L,L,D,-0.083333333,-0.333333333,0.041666667,-4
Liverpool,Leeds,H,1.708333333,1.958333333,D,W,L,L,W,L,0.583333333,0.416666667,0.083333333,1
Man United,Coventry,H,2.208333333,1.208333333,W,W,W,L,D,W,1.166666667,0.208333333,0.125,-13
Southampton,West Ham,H,1.083333333,1.333333333,W,W,L,L,W,D,-0.416666667,0.083333333,0.125,6
Sunderland,Newcastle,NH,1.583333333,1.125,L,L,L,L,W,D,0.25,0,-0.291666667,-4
Tottenham,Chelsea,NH,1.458333333,1.541666667,L,D,L,D,D,W,0.291666667,0.375,-0.083333333,5
Wimbledon,Everton,NH,1.166666667,1.25,W,L,W,L,D,D,-0.125,0.125,0.041666667,5
Chelsea,Wimbledon,H,1.541666667,1.166666667,D,D,W,W,L,W,0.375,-0.125,0,-13
Coventry,Sunderland,H,1.208333333,1.583333333,L,D,W,L,L,L,0.208333333,0.25,0.291666667,7
Everton,Derby,H,1.25,0.958333333,L,D,D,D,W,W,0.125,-0.416666667,-0.083333333,-3
Leeds,Tottenham,H,2,1.4,W,L,W,L,L,D,0.44,0.24,0.08,-7
Newcastle,Man United,H,1.12,2.12,D,L,W,L,W,W,0,1,-0.08,10
Sheffield Weds,Southampton,NH,0.68,1.16,D,L,W,W,W,W,-1.08,-0.36,-0.16,3
Watford,Leicester,NH,0.56,1.36,L,L,L,W,L,D,-1.32,-0.04,-0.08,12
West Ham,Bradford,H,1.4,0.96,W,L,W,W,W,L,0.12,-0.6,0.04,-8
Arsenal,Liverpool,NH,1.76,1.76,L,D,W,W,D,W,0.72,0.64,-0.08,-2
Middlesbrough,Aston Villa,NH,1.12,1.36,L,L,L,W,D,D,-0.48,0.12,-0.32,6
Middlesbrough,Coventry,H,1.12,1.28,L,L,L,W,L,D,-0.48,0.24,-0.28,-2
Leeds,Man United,NH,2,2.12,W,L,W,L,W,W,0.44,1,-0.16,2
Arsenal,Southampton,H,1.76,1.16,L,D,W,W,W,W,0.72,-0.36,-0.16,-13
Bradford,Aston Villa,NH,0.923076923,1.423076923,L,W,W,W,W,D,-0.615384615,0.269230769,-0.153846154,11
Chelsea,Watford,H,1.653846154,0.576923077,W,W,D,D,L,L,0.461538462,-1.269230769,0.384615385,-15
Coventry,Tottenham,NH,1.230769231,1.346153846,L,W,L,L,L,L,0.153846154,0.192307692,0.230769231,4
Middlesbrough,Leeds,NH,1.192307692,1.923076923,W,L,L,L,W,L,-0.384615385,0.384615385,-0.076923077,9
Sheffield Weds,Newcastle,NH,0.653846154,1.192307692,L,D,L,W,D,L,-1.076923077,0.115384615,-0.038461538,7
Sunderland,Derby,NH,1.5,0.923076923,L,D,L,L,D,D,0.192307692,-0.423076923,-0.269230769,-9
West Ham,Everton,NH,1.346153846,1.384615385,L,W,L,W,W,L,-0.038461538,0.269230769,-0.038461538,-4
Wimbledon,Man United,NH,1.076923077,2.153846154,L,L,W,W,L,W,-0.307692308,1,-0.230769231,17
