HomeTeam,AwayTeam,FTR,HTP,ATP,HM1,HM2,HM3,AM1,AM2,AM3,HTGD,ATGD,DiffFormPts,DiffLP
Sunderland,Watford,NH,0.75,1.375,L,W,W,W,W,L,-0.75,0.0625,-0.1875,4
West Ham,Stoke,NH,1.4375,1.375,D,D,L,W,L,W,0.25,-0.0625,-0.4375,-2
Aston Villa,Arsenal,NH,0.375,1.875,D,L,L,W,D,L,-0.9375,0.875,-0.375,18
Liverpool,West Brom,NH,1.4375,1.1875,L,W,W,D,D,W,0.0625,-0.3125,0.25,-6
Tottenham,Newcastle,NH,1.625,0.8125,D,D,W,W,L,L,0.8125,-0.875,0.125,-15
Leicester,Chelsea,H,2,0.9375,W,D,W,L,D,W,0.6875,-0.4375,0.5625,-9
Chelsea,Sunderland,H,0.882352941,0.705882353,L,L,D,L,L,W,-0.470588235,-0.764705882,-0.117647059,-7
Everton,Leicester,NH,1.352941176,2.058823529,D,D,D,W,W,D,0.470588235,0.705882353,-0.352941176,10
Man United,Norwich,NH,1.705882353,0.823529412,L,D,D,D,L,D,0.529411765,-0.588235294,0.176470588,-14
Newcastle,Aston Villa,NH,0.941176471,0.352941176,W,W,L,L,D,L,-0.764705882,-1,0.411764706,-2
Southampton,Tottenham,NH,1.235294118,1.529411765,L,D,L,L,D,D,0.117647059,0.705882353,-0.117647059,3
Stoke,Crystal Palace,NH,1.352941176,1.529411765,D,W,L,W,D,W,-0.058823529,0.352941176,0,-6
West Brom,Bournemouth,NH,1.176470588,0.941176471,D,D,D,W,W,D,-0.294117647,-0.647058824,-0.117647059,-2
Swansea,West Ham,NH,0.823529412,1.411764706,L,L,L,D,D,D,-0.529411765,0.235294118,-0.176470588,5
Watford,Liverpool,H,1.470588235,1.411764706,W,W,W,D,L,W,0.117647059,0.058823529,0.117647059,5
Arsenal,Man City,H,1.941176471,1.882352941,W,W,D,W,L,W,0.941176471,0.882352941,0.058823529,-2
Aston Villa,West Ham,NH,0.388888889,1.388888889,D,L,D,D,D,D,-0.944444444,0.222222222,-0.111111111,13
Bournemouth,Crystal Palace,NH,1.055555556,1.611111111,W,W,W,W,W,D,-0.555555556,0.388888889,0.055555556,1
Chelsea,Watford,NH,1,1.555555556,W,L,L,W,W,W,-0.333333333,0.277777778,-0.277777778,-3
Liverpool,Leicester,H,1.333333333,2.111111111,L,D,L,W,W,W,-0.111111111,0.722222222,-0.333333333,7
Man City,Sunderland,H,1.777777778,0.666666667,L,W,L,L,L,L,0.777777778,-0.833333333,0,-13
Newcastle,Everton,NH,0.944444444,1.277777778,D,W,W,L,D,D,-0.722222222,0.388888889,0.055555556,7
Southampton,Arsenal,H,1.166666667,2,L,L,D,W,W,W,0,0.944444444,-0.5,4
Stoke,Man United,H,1.277777778,1.611111111,L,D,W,L,L,D,-0.111111111,0.444444444,0.111111111,4
Swansea,West Brom,H,0.833333333,1.111111111,D,L,L,L,D,D,-0.5,-0.333333333,-0.222222222,-2
Tottenham,Norwich,H,1.611111111,0.944444444,W,L,D,W,D,L,0.777777778,-0.5,0.166666667,-16
Arsenal,Bournemouth,H,1.894736842,1.052631579,L,W,W,D,W,W,0.684210526,-0.526315789,-0.052631579,-14
Crystal Palace,Swansea,NH,1.578947368,0.947368421,D,W,W,W,D,L,0.368421053,-0.421052632,0.368421053,3
Everton,Stoke,NH,1.368421053,1.368421053,W,L,D,W,L,D,0.421052632,0,-0.052631579,2
Man United,Chelsea,NH,1.526315789,1,L,L,L,D,W,L,0.315789474,-0.315789474,-0.157894737,-5
Norwich,Aston Villa,H,0.894736842,0.421052632,L,W,D,D,D,L,-0.631578947,-0.894736842,0.105263158,-1
